STATION_ID;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
5579;275.0;51.586;9.0303;19010601;;Willebadessen-Borlinghausen
1267;106.0;50.7813;6.819;19610801;19961231;Erftstadt-Bliesheim
4082;48.0;51.3;6.85;19691101;19980630;Ratingen
6276;235.0;51.4895;7.7813;20041101;;Fröndenberg-Hohenheide
4054;66.0;51.7483;6.8629;19630611;19950531;Raesfeld-Erle
4171;25.0;51.5534;6.5912;19840601;19970131;Rheinberg
13669;55.0;52.0087;7.852;20070201;;Ostbevern-Schirlheide
4168;70.0;51.8667;8.3;19791001;19950331;Rheda-Wiedenbrück
4266;120.0;50.8167;7.5333;19630501;19661031;Rossel
2259;92.0;51.8311;9.4272;19950101;20001231;Höxter-Stahle
5348;240.0;51.5343;9.132;19980101;20061231;Warburg-Hohenwepel
4241;393.0;50.6582;6.2083;19910101;20061231;Rötgen (Dreilägerbachtalsperre)
2110;57.0;51.0411;6.1042;18920601;;Heinsberg-Schleiden
2254;46.0;52.2396;7.6449;20050601;;Hörstel-Riesenbeck
3320;49.0;51.197;6.4499;19290101;19530630;Mönchengladbach
4170;180.0;50.6244;6.945;18970701;;Rheinbach
2419;124.0;51.3513;7.6026;19760101;;Iserlohn-Letmathe
3656;115.0;51.9286;7.334;19470701;;Nottuln
1277;92.0;51.0713;6.3278;18931101;;Erkelenz
2590;684.0;51.0709;8.1974;19360801;20061231;Kirchhundem-Rhein-Weser-Turm
1330;250.0;52.1011;9.1345;19900730;19951231;Extertal-Meierberg
13670;25.0;51.5088;6.7018;20070201;;Duisburg-Baerl
1081;37.0;51.2362;6.7187;19050325;20061231;Düsseldorf-Heerdt
1034;100.0;51.45;7.4167;19500101;19871231;Dortmund-Kruckel
